--------- beginning of main
09-02 18:45:46.590 14031 14031 E adbd    : recv: OPEN 000264e7 00000000 0095:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 61 6D 20 73 74 61 72 74 20 2D 53 20 2D 61 20 61 6E 64 72 6F 69 64 2E 69 6E 74 65 6E 74 2E 61 63 74 69 6F 6E 2E 56 49 45 57 20 2D 6E 20 6F 72 67 2E 6D 6F 7A 69 6C 6C 61 2E 66 69 72 65 66 6F 78 2F 6F 72 67 2E 6D 6F 7A 69 6C 6C 61 2E 67 65 63 6B 6F 2E 42 72 6F 77 73 65 72 41 70 70 20 2D 2D 61 63 74 69 76 69 74 79 2D 63 6C 65 61 72 2D 74 61 73 6B 00 
09-02 18:45:46.590 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:am start -S -a android.intent.action.VIEW -n org.mozilla.firefox/org.mozilla.gecko.BrowserApp --activity-clear-task
09-02 18:46:04.793  7881  7871 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 18:46:04.793  7881  7871 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 18:46:04.793  7881  7871 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 18:46:04.794  7881  7871 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 18:46:04.794  7881  7871 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 18:46:04.794  7881  7871 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 18:46:04.794  7881  7871 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 18:46:04.794  7881  7871 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 18:46:04.794  7881  7871 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 18:46:04.894  3979  3979 D PreBindingService: handleMessage : 1
09-02 18:46:04.994  3979  4484 E Watchdog: !@Sync 2122 [2023-09-02 18:46:04.994]
09-02 18:46:05.319  3979  6899 D SSRM:G  : SIOP:: AP = 330, PST = 315 (W:16), BAT = 283, USB = 0, CHG = 0
09-02 18:46:05.335  7881  4225 E fb4a.msys: E[N rtchannel]_rt_mqtt_publish_callback(430)=>Failed to publish the request over MQTT. token:66eaffdf-cbcc-4c39-b6f6-a8782c93fae3, category:mcd-sync-data-task-category, requestId:60825, error:Error Domain=mqtt Code=2001
09-02 18:46:05.335  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response 66eaffdf-cbcc-4c39-b6f6-a8782c93fae3 contains sync error Error Domain=mqtt Code=2001 - Underlying error (null): Error Domain=mqtt Code=2001
09-02 18:46:05.992 14031 14031 E adbd    : recv: OPEN 00026544 00000000 0042:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 67 65 74 70 72 6F 70 20 72 6F 2E 62 75 69 6C 64 2E 76 65 72 73 69 6F 6E 2E 72 65 6C 65 61 73 65 00 
09-02 18:46:05.992 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:getprop ro.build.version.release
09-02 18:46:06.084 14031 14031 E adbd    : recv: OPEN 00026547 00000000 003e:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 67 65 74 70 72 6F 70 20 72 6F 2E 62 75 69 6C 64 2E 76 65 72 73 69 6F 6E 2E 73 64 6B 00 
09-02 18:46:06.084 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:getprop ro.build.version.sdk
09-02 18:46:06.127  4962  4962 D io_stats: !@ 179,0 r 759887 22515104 w 612601 12541124 d 66484 20744544 f 141620 145325 iot 701564 590880 th 51200 0 0 pt 0 inp 0 0 63699.372
09-02 18:46:06.182 14031 14031 E adbd    : recv: OPEN 0002654a 00000000 0052:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 61 6D 20 66 6F 72 63 65 2D 73 74 6F 70 20 63 6F 6D 2E 65 78 61 6D 70 6C 65 2E 62 61 74 74 65 72 79 6D 61 6E 61 67 65 72 5F 75 74 69 6C 69 74 79 00 
09-02 18:46:06.182 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:am force-stop com.example.batterymanager_utility
09-02 18:46:06.275  3979  9878 I ActivityManager: Force stopping com.example.batterymanager_utility appid=10157 user=0: from pid 8479
09-02 18:46:06.275  3979  9878 I ActivityManager: Killing 7887:com.example.batterymanager_utility/u0a157 (adj 0): stop com.example.batterymanager_utility,from pid 8479
09-02 18:46:06.277  3979  9878 W ActivityManager: Force removing ActivityRecord{f8cc1da u0 com.example.batterymanager_utility/.MainActivity t1131}: app died, no saved state
09-02 18:46:06.285  3979  9878 D InputDispatcher: Focus left window: 7887
09-02 18:46:06.287  3979  9878 I WindowManager: Failed to capture screenshot of Token{a9b260b ActivityRecord{f8cc1da u0 com.example.batterymanager_utility/.MainActivity t1131 f}} appWin=Window{429ccad u0 com.example.batterymanager_utility/com.example.batterymanager_utility.MainActivity} drawState=4
09-02 18:46:06.287  3979  9878 D TaskSnapshotCache: removeRunningEntry taskId=1131 RunningCache size=3
09-02 18:46:06.288  3979  9878 I WindowManager: Destroying surface Surface(name=com.example.batterymanager_utility/com.example.batterymanager_utility.MainActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2501 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:985 com.android.server.wm.WindowState.removeImmediately:2404 com.android.server.wm.WindowState.removeIfPossible:2603 com.android.server.wm.WindowState.removeIfPossible:2433 com.android.server.wm.WindowToken.removeAllWindowsIfPossible:143 com.android.server.wm.AppWindowToken.removeIfPossible:606 com.android.server.wm.AppWindowToken.onRemovedFromDisplay:674 
09-02 18:46:06.289  3462  5840 I SurfaceFlinger: id=3940 Removed com.example.batterymanager_utility/com.example.batterymanager_utility.MainActivity#0 (1/4)
09-02 18:46:06.289  3462  5840 I SurfaceFlinger: id=3940 Removed com.example.batterymanager_utility/com.example.batterymanager_utility.MainActivity#0 (-2/4)
09-02 18:46:06.291  3462  3462 I Layer   : id=3940 onRemoved com.example.batterymanager_utility/com.example.batterymanager_utility.MainActivity#0 
09-02 18:46:06.296  3462  3462 I SurfaceFlinger: Display 0 HWC layers:
09-02 18:46:06.296  3462  3462 I SurfaceFlinger:     type    |    handle    | flag |  format   |   source crop (l,t,r,b)    |         frame       | name 
09-02 18:46:06.296  3462  3462 I SurfaceFlinger: ------------+--------------+------+-----------+----------------------------+---------------------+------
09-02 18:46:06.296  3462  3462 I SurfaceFlinger:      Device | 0x7ac4c24d80 | 0000 | RGBA_8888 |   0.0    0.0  720.0   42.0 |    0    0  720   42 | StatusBar#0
09-02 18:46:06.296  3462  3462 I SurfaceFlinger: 
09-02 18:46:06.296  3979  9878 D InputDispatcher: Focused application released
09-02 18:46:06.296  3979  9878 W MultiScreenManagerService: moveTaskBackToDisplayIfNeeded(): root activity or app is null, task=TaskRecord{5f0f1f7d0 #1131 A=com.example.batterymanager_utility U=0 StackId=1 sz=0}, rootActivity=null
09-02 18:46:06.298  3979  3979 D MdnieScenarioControlService: Listener Real Multi Window State : true
09-02 18:46:06.306  3979  9878 D CustomFrequencyManagerService: acquireDVFSLockLocked : type : DVFS_MIN_LIMIT  frequency : 1560000  uid : 1000  pid : 3979  pkgName : AMS_APP_HOME@CPU_MIN@59
09-02 18:46:06.308  3979  9878 D ActivityManagerPerformance: AMP_acquire() HOME
09-02 18:46:06.309  3979  9878 D PersonaManagerService: Current focused persona service handled id set to : 0
09-02 18:46:06.309  3979  9878 D InputDispatcher: Focused application set to: xxxx
09-02 18:46:06.312  3979  9878 V WindowManager: rotationForOrientationLw(orient=5, last=0); user=0  sensorRotation=-1 mLidState=-1 mDockMode=0 mHdmiPlugged=false
09-02 18:46:06.313  3979  4238 D GameManagerService: handleForegroundChange(). pkgName: com.sec.android.app.launcher, clsName: com.android.launcher3.Launcher,FgActivityName:com.sec.android.app.launcher/com.android.launcher3.Launcher
09-02 18:46:06.314  3979  9878 D MARsPolicyManager: onPackageResumedFG pkgName = com.sec.android.app.launcher, userId = 0
09-02 18:46:06.314  3979  4238 D GameManagerService: sem_perfomance_mode: 3
09-02 18:46:06.314  3979  4238 D GameManagerService: notifyResumePause(). pkg: com.sec.android.app.launcher, type: 4, isMinimized: false, isTunableApp: false
09-02 18:46:06.314  3979  4238 D GameManagerService:   notifyResumePause(). unexpected mPrevNotiType: -1
09-02 18:46:06.321  3979  3979 D SamsungAlarmManager: Remove alarm for next reason : android.intent.action.PACKAGE_RESTARTED : package: com.example.batterymanager_utility
09-02 18:46:06.323  3979  3995 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_RESTARTED dat=package:com.example.batterymanager_utility flg=0x10 (has extras) } to android/com.kddi.android.CpaNotiReceiver
09-02 18:46:06.323  4633  4633 D CarrierSvcBindHelper: No carrier app for: 0
09-02 18:46:06.324  4633  4633 D CarrierSvcBindHelper: No carrier app for: 1
09-02 18:46:06.324  5213  5213 I Launcher: onWindowVisibilityChanged : false
09-02 18:46:06.325  3979  3995 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_RESTARTED dat=package:com.example.batterymanager_utility flg=0x10 (has extras) } to com.sec.android.daemonapp/com.samsung.android.weather.daemon.receiver.ClearDataReceiver
09-02 18:46:06.325  3979  9878 V WindowManager: Relayout Window{7215288 u0 com.sec.android.app.launcher/com.sec.android.app.launcher.activities.LauncherActivity}: viewVisibility=4 req=720x1280 WM.LayoutParams{(0,0)(fillxfill) sim=#130 ty=1 fl=#81910d00 pfl=0x20000 fmt=-2 wanim=0x10302ea vsysui=0x700 needsMenuKey=2 colorMode=0 dimDuration=100 naviIconColor=0}
09-02 18:46:06.326  3979  6899 D GamePkgDataHelper: getGamePkgDataIncServer(). com.sec.android.app.launcher
09-02 18:46:06.327  3979  6899 D GameManagerService: identifyGamePackage. com.sec.android.app.launcher
09-02 18:46:06.327  3979  6899 D GamePkgDataHelper: getGamePkgData(). com.sec.android.app.launcher
09-02 18:46:06.328  3979  6899 D GameManagerService: identifyGamePackage. com.sec.android.app.launcher
09-02 18:46:06.328  5213  5213 D ViewRootImpl@8c524b3[LauncherActivity]: Relayout returned: old=[0,0][720,1280] new=[0,0][720,1280] result=0x1 surface={valid=false 0} changed=false
09-02 18:46:06.328  3979  6899 D GamePkgDataHelper: getGamePkgData(). com.sec.android.app.launcher
09-02 18:46:06.328  3979  6899 D GamePkgDataHelper: getSosPolicy(). com.sec.android.app.launcher
09-02 18:46:06.328  5213  5213 D HomeContainer: setAlpha : 1.0
09-02 18:46:06.329  5213  5213 V Launcher: Launcher.onResume()
09-02 18:46:06.329  3979  6899 D GameManagerService: identifyGamePackage. com.sec.android.app.launcher
09-02 18:46:06.329  3979  6899 D GamePkgDataHelper: getGamePkgData(). com.sec.android.app.launcher
09-02 18:46:06.330  3979  6899 D GameManagerService: identifyGamePackage. com.sec.android.app.launcher
09-02 18:46:06.330  3979  6899 D GamePkgDataHelper: getGamePkgData(). com.sec.android.app.launcher
09-02 18:46:06.334  5213  5213 D ExternalMethodQueue: Getting and clearing EXTERNAL_METHOD_LIST: null
09-02 18:46:06.335  5213  5302 I LauncherAppWidgetInfo: reinflateWidgetsIfNecessary, Not required: AppWidget(id=2)
09-02 18:46:06.335  5213  5213 D Launcher.HomeController: onResume HomeContainer current alpha = 1.0
09-02 18:46:06.335  5213  5302 I LauncherAppWidgetInfo: reinflateWidgetsIfNecessary, Not required: AppWidget(id=3)
09-02 18:46:06.335  5213  5213 D AppsCustomAdapter: notifyUpdate : com.android.launcher3.Launcher@110cd72
09-02 18:46:06.335  5213  5213 D AppsDragController: needDeferToBind : true , false
09-02 18:46:06.336  5117  5117 I GsaVoiceInteractionSrv: Handling ACTION_START_HOTWORD
09-02 18:46:06.337  5117  5374 I GsaVoiceInteractionSrv: (REDACTED) disregardVoiceMatch: %b
09-02 18:46:06.337  5117  5374 I GsaVoiceInteractionSrv: Cannot start hotword, hotword has been explicitly disabled.
09-02 18:46:06.339  3979  5982 D Notification: allPendingIntents
09-02 18:46:06.340  3979  5982 I chatty  : uid=1000(system) Binder:3979_16 identical 1 line
09-02 18:46:06.340  3979  5982 D Notification: allPendingIntents
09-02 18:46:06.340  3979  9878 D ActivityManager: post active user change for 0 fullscreen true isHomeActivity() true
09-02 18:46:06.340  3979  9878 I WallpaperManagerService: switchPersonaWallpaper is called for personaId-0
09-02 18:46:06.340  3979  5982 D Notification: allPendingIntents
09-02 18:46:06.340  3979  3979 D WallpaperManagerService:  force update = false; persona id = 0; current user =0; current persona = 0
09-02 18:46:06.341  3979  5982 D Notification: allPendingIntents
09-02 18:46:06.341  5213  5213 I Launcher: onWindowVisibilityChanged : true
09-02 18:46:06.341  3979  5982 D Notification: allPendingIntents
09-02 18:46:06.342  3979  5982 I chatty  : uid=1000(system) Binder:3979_16 identical 1 line
09-02 18:46:06.342  3979  9878 V WindowManager: Relayout Window{7215288 u0 com.sec.android.app.launcher/com.sec.android.app.launcher.activities.LauncherActivity}: viewVisibility=0 req=720x1280 WM.LayoutParams{(0,0)(fillxfill) sim=#130 ty=1 fl=#81910d00 pfl=0x20000 fmt=-2 wanim=0x10302ea vsysui=0x700 needsMenuKey=2 colorMode=0 dimDuration=100 naviIconColor=0}
09-02 18:46:06.343  3979  5982 D Notification: allPendingIntents
09-02 18:46:06.343  3462  3462 I SurfaceFlinger: id=3942 createSurf (720x1280),1 flag=4, com.sec.android.app.launcher/com.sec.android.app.launcher.activities.LauncherActivity#0
09-02 18:46:06.343  3979  5982 D Notification: allPendingIntents
09-02 18:46:06.343  3979  5982 D Notification: allPendingIntents
09-02 18:46:06.344  3979  9878 V Surface : sf_framedrop debug : 0x4f4c, game : false, logging : 0
09-02 18:46:06.344  3979  3996 D WindowManager: set systemUiVisibility : systemUiFlags= 0x708 fullscreenStackSysUiFlags= 0x0
09-02 18:46:06.345  3979  4200 D Notification: allPendingIntents
09-02 18:46:06.346  3979  4200 I chatty  : uid=1000(system) Binder:3979_3 identical 1 line
09-02 18:46:06.346  3979  4200 D Notification: allPendingIntents
09-02 18:46:06.347  3979  9878 D InputDispatcher: Focus entered window: 5213
09-02 18:46:06.348  3979  5982 D WindowManager: adjustSystemUiVisibilityLw : vis= 0x708
09-02 18:46:06.348  5213  5213 V Surface : sf_framedrop debug : 0x4f4c, game : false, logging : 0
09-02 18:46:06.348  5213  5213 D ViewRootImpl@8c524b3[LauncherActivity]: Relayout returned: old=[0,0][720,1280] new=[0,0][720,1280] result=0x7 surface={valid=true 535536410624} changed=true
09-02 18:46:06.350  5213  5302 D Notification.Badge: [filtered] shouldBeFilteredOut().mTempRanking.canShowBadge[false], [sbn : StatusBarNotification(pkg=com.samsung.android.timezone.autoupdate_O user=UserHandle{0} id=1 tag=null key=0|com.samsung.android.timezone.autoupdate_O|1|null|10072: Notification(channel=TimeZoneUpdaterO pri=0 contentView=null vibrate=default sound=default defaults=0xffffffff flags=0x11 color=0x00000000 actions=2 number=0 vis=PRIVATE semFlags=0x0 semPriority=0 semMissedCount=0))]
09-02 18:46:06.350  5213  5302 D Notification.Badge: [filtered] shouldBeFilteredOut().isGroupHeader[true], missingTitleAndText[true], [sbn : StatusBarNotification(pkg=com.android.vending user=UserHandle{0} id=2147483647 tag=ranker_group key=0|com.android.vending|2147483647|ranker_group|10044|ranker_group: Notification(channel=maintenance-v2 pri=0 contentView=null vibrate=null sound=null defaults=0x0 flags=0x700 color=0xff01875f groupKey=ranker_group number=0 vis=PRIVATE semFlags=0x0 semPriority=0 semMissedCount=0))]
09-02 18:46:06.351  5213  5302 D Notification.Badge: [filtered] shouldBeFilteredOut().mTempRanking.canShowBadge[false], [sbn : StatusBarNotification(pkg=com.android.settings user=UserHandle{0} id=2354 tag=null key=0|com.android.settings|2354|null|1000: Notification(channel=DeviceMaintenanceNoBadge pri=0 contentView=null vibrate=null sound=null defaults=0x0 flags=0x110 color=0xff7ccbe2 actions=1 number=0 vis=PRIVATE semFlags=0x0 semPriority=0 semMissedCount=0))]
09-02 18:46:06.351  5213  5302 D Notification.Badge: [filtered] shouldBeFilteredOut().isGroupHeader[true], missingTitleAndText[false], [sbn : StatusBarNotification(pkg=com.google.android.googlequicksearchbox user=UserHandle{0} id=1253907549 tag=oc key=0|com.google.android.googlequicksearchbox|1253907549|oc|10076: Notification(channel=OpaChannel_41 pri=-1 contentView=null vibrate=null sound=null defaults=0x0 flags=0x218 color=0xff4285f4 groupKey=opa_proactive actions=2 number=0 vis=PRIVATE semFlags=0x0 semPriority=0 semMissedCount=0))]
09-02 18:46:06.351  5213  5302 D Notification.Badge: [filtered] shouldBeFilteredOut().mTempRanking.canShowBadge[false], [sbn : StatusBarNotification(pkg=com.android.systemui user=UserHandle{-1} id=2131362729 tag=full_battery key=-1|com.android.systemui|2131362729|full_battery|10009: Notification(channel=FBT pri=-2 contentView=null vibrate=null sound=null tick defaults=0x0 flags=0xa color=0xff17c433 category=sys number=0 vis=PUBLIC semFlags=0x0 semPriority=0 semMissedCount=0))]
09-02 18:46:06.351  5213  5302 D Notification.Badge: [filtered] shouldBeFilteredOut().mTempRanking.canShowBadge[false], [sbn : StatusBarNotification(pkg=android user=UserHandle{-1} id=32 tag=null key=-1|android|32|null|1000: Notification(channel=USB pri=0 contentView=null vibrate=null sound=null tick defaults=0x0 flags=0x2 color=0xff607d8b number=0 vis=PUBLIC semFlags=0x0 semPriority=0 semMissedCount=0))]
09-02 18:46:06.351  5213  5302 D Notification.Badge: [filtered] shouldBeFilteredOut().mTempRanking.canShowBadge[false], [sbn : StatusBarNotification(pkg=com.google.android.googlequicksearchbox user=UserHandle{0} id=0 tag=1049226659::SUMMARY::wx key=0|com.google.android.googlequicksearchbox|0|1049226659::SUMMARY::wx|10076: Notification(channel=21 pri=-2 contentView=null vibrate=null sound=null defaults=0x0 flags=0x200 color=0xff4285f4 groupKey=1049226659::SUMMARY::wx number=0 vis=PRIVATE publicVersion=Notification(channel=null pri=0 contentView=null vibrate=null sound=null defaults=0x0 flags=0x0 color=0xff4285f4 number=0 vis=PRIVATE semFlags=0x0 semPriority=0 semMissedCount=0) semFlags=0x0 semPriority=0 semMissedCount=0))]
09-02 18:46:06.351  5213  5302 D Notification.Badge: [filtered] shouldBeFilteredOut().mTempRanking.canShowBadge[false], [sbn : StatusBarNotification(pkg=com.google.android.googlequicksearchbox user=UserHandle{0} id=0 tag=1049226659::a:snotification:[0x394,wx.f,NOTIFICATION] key=0|com.google.android.googlequicksearchbox|0|1049226659::a:snotification:[0x394,wx.f,NOTIFICATION]|10076: Notification(channel=21 pri=-2 contentView=null vibrate=null sound=null tick defaults=0x0 flags=0x8 color=0xff4285f4 groupKey=1049226659::SUMMARY::wx number=0 vis=PRIVATE semFlags=0x0 semPriority=0 semMissedCount=0))]
09-02 18:46:06.351  5213  5302 D Notification.Badge: LauncherModel:onNotificationFullRefresh() : [4], IconType : [0]
09-02 18:46:06.352  5213  5302 D Notification.Badge: notificationKey : 0|com.facebook.katana|0|stale_notifications|10102, count : 0, this.count : 1
09-02 18:46:06.352  5213  5302 D Notification.Badge: notificationKey : 0|com.facebook.katana|0|stale_notifications|10102, count : 1, mTotalCount : 1
09-02 18:46:06.352  5213  5302 D Notification.Badge: notificationKey : 0|com.android.vending|-2073578647|null|10044, count : 0, this.count : 1
09-02 18:46:06.352  5213  5302 D Notification.Badge: notificationKey : 0|com.android.vending|-2073578647|null|10044, count : 1, mTotalCount : 1
09-02 18:46:06.352  5213  5302 D Notification.Badge: notificationKey : 0|com.android.vending|-555892737|null|10044, count : 0, this.count : 1
09-02 18:46:06.352  5213  5302 D Notification.Badge: notificationKey : 0|com.android.vending|-555892737|null|10044, count : 1, mTotalCount : 2
09-02 18:46:06.352  5213  5302 D Notification.Badge: notificationKey : 0|com.android.vending|-234430262|null|10044, count : 13, this.count : 13
09-02 18:46:06.352  5213  5302 D Notification.Badge: notificationKey : 0|com.android.vending|-234430262|null|10044, count : 13, mTotalCount : 15
09-02 18:46:06.352  5213  5302 D Notification.Badge: LauncherModel:onNotificationFullRefresh() not need to update, updatedBadges.remove[com.facebook.katana], count : [1]
09-02 18:46:06.352  5213  5302 D Notification.Badge: LauncherModel:onNotificationFullRefresh() not need to update, updatedBadges.remove[com.android.vending], count : [15]
09-02 18:46:06.353  5213  5479 D mali_winsys: EGLint new_window_surface(egl_winsys_display *, void *, EGLSurface, EGLConfig, egl_winsys_surface **, egl_color_buffer_format *, EGLBoolean) returns 0x3000,  [720x1280]-format:1
09-02 18:46:06.353  5213  5479 D OpenGLRenderer: eglCreateWindowSurface = 0x7cb02229c0
09-02 18:46:06.353  5213  5213 D AppsAdapter: notifyUpdate start : com.android.launcher3.Launcher@110cd72
09-02 18:46:06.353  5213  5213 D AppsCustomAdapter: no change items
09-02 18:46:06.354  5213  5213 D AppsAdapter: notifyUpdate end : com.android.launcher3.Launcher@110cd72
09-02 18:46:06.354  5213  5213 D ViewRootImpl@8c524b3[LauncherActivity]: MSG_WINDOW_FOCUS_CHANGED 1
09-02 18:46:06.357  5213  5213 V InputMethodManager: Starting input: tba=android.view.inputmethod.EditorInfo@accba60 nm : com.sec.android.app.launcher ic=null
09-02 18:46:06.357  5213  5213 I InputMethodManager: startInputInner - mService.startInputOrWindowGainedFocus
09-02 18:46:06.357  3979  5982 D InputMethodManagerService: startInputOrWindowGainedFocus : windowGainedFocus 
09-02 18:46:06.357  3979  5982 D InputMethodManagerService: windowGainedFocus: destinationUserId (getCallingUid) = 0
09-02 18:46:06.357  3979  5982 D InputMethodManagerService: windowGainedFocus: currentUserId=0
09-02 18:46:06.357  3979  5982 D InputMethodManagerService: windowGainedFocus: mCurrentFocusedUserId=0
09-02 18:46:06.358  3979  5982 D InputMethodManagerService: windowGainedFocus : lock - currentUserId = 0 destinationUserId = 0
09-02 18:46:06.358  3979  5982 D InputMethodManagerService: windowGainedFocus : mCurrentFocusedUserId - 0 and mSecureKeypadEnabled - false, userSwitched - false
09-02 18:46:06.359  3979  5982 V InputMethodManagerService: windowGainedFocus : reason=WINDOW_FOCUS_GAIN client=android.os.BinderProxy@85bf16e inputContext=null missingMethods= attribute=android.view.inputmethod.EditorInfo@9dad3ad nm = com.sec.android.app.launcher controlFlags=#104 softInputMode=#130 windowFlags=#81910d00
09-02 18:46:06.359  3979  5982 V InputMethodManagerService: hideCurrentInputLocked : shouldHideSoftInput is false
09-02 18:46:06.360  3979  5982 W InputMethodManagerService: Got RemoteException sending setActive(false) notification to pid 7887 uid 10157
09-02 18:46:06.360 14031 14031 E adbd    : recv: OPEN 0002654d 00000000 0042:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 67 65 74 70 72 6F 70 20 72 6F 2E 62 75 69 6C 64 2E 76 65 72 73 69 6F 6E 2E 72 65 6C 65 61 73 65 00 
09-02 18:46:06.360 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:getprop ro.build.version.release
09-02 18:46:06.360  3979  5982 D InputMethodManagerService: isImeSwitcherDisabledPackage : false
09-02 18:46:06.361  3979  5982 D InputMethodManagerService: setCurrentInputInfo - inputContext : null eidtorInfo : android.view.inputmethod.EditorInfo@9dad3ad missingMethods : 0
09-02 18:46:06.361  4336  4336 I InputMethodWrapper:  call dispatchStartInputWithToken
09-02 18:46:06.361  4336  4336 I InputMethodService: dispatchStartInputWithToken
09-02 18:46:06.362  3979  4004 W ActivityManager: setHasOverlayUi called on unknown pid: 7887
09-02 18:46:06.362  4336  4336 I SKBD    : SamsungKeypad [IMI] onStartInput - caller pid : 5213, caller uid : 10074
09-02 18:46:06.362  4336  4336 D InputEventReceiver: channel 'ClientState{4fe042e uid 10157 pid 7887} (client)' ~ Disposing input event receiver.
09-02 18:46:06.362  5213  5213 D DragLayer: DragLayer dispatchDraw, mIsNaviBarPositionChanged = false, mWillOrientationChange = false
09-02 18:46:06.362  4336  4336 D InputEventReceiver: channel 'ClientState{4fe042e uid 10157 pid 7887} (client)' ~NativeInputEventReceiver.
09-02 18:46:06.375  3979  4545 V WindowManager: finishDrawingLocked: mDrawState=COMMIT_DRAW_PENDING Window{7215288 u0 com.sec.android.app.launcher/com.sec.android.app.launcher.activities.LauncherActivity} in Surface(name=com.sec.android.app.launcher/com.sec.android.app.launcher.activities.LauncherActivity)
09-02 18:46:06.375  4349  4850 D WallpaperService: dispatchAppVisibility onVisibilityChanged(): true
09-02 18:46:06.376  4349  4349 D WallpaperService: updateSurface forceRelayout=false redrawNeeded=false myWidth=1280 myHeight=1280 fixedSize=true x = 0 y = 0 mWidth=1280 mHeight=1280 mIsSleepMode=false
09-02 18:46:06.376  4349  4349 D ImageWallpaper: onVisibilityChanged: mVisible, visible=false, true
09-02 18:46:06.376  4349  4349 D ImageWallpaper: Visibility changed to visible=true
09-02 18:46:06.376  4349  4349 D ImageWallpaper: newRotation : 0,mLastRotation : 0
09-02 18:46:06.377  4349  4349 D ImageWallpaper: drawFrame:[frame.width()]1280[frame.height()]1280
09-02 18:46:06.377  4349  4349 D ImageWallpaper: surfaceDimensionsChanged=false mDisplayWidth=720 mDisplayHeight=1280
09-02 18:46:06.377  4349  4349 D ImageWallpaper: redrawNeeded = false, mOffsetsChanged = false
09-02 18:46:06.377  4349  4349 D ImageWallpaper: Suppressed drawFrame since redraw is not needed and offsets have not changed.
09-02 18:46:06.377  4349  4349 D WallpaperService: reportVisibility onVisibilityChanged visible: true
09-02 18:46:06.377  3979  4046 D SamsungAnimationCreator: createAnimation type:CHNLowEnd transit:13 enter:false wallpaperXoffset:-280 split:false fixedOri:false
09-02 18:46:06.378  3979  4046 D SamsungAnimationCreator: createAnimation displayFrame:Rect(0, 0 - 720, 1280) frame:null insets:null
09-02 18:46:06.379  4349  4349 D WallpaperService: updateSurface forceRelayout=true redrawNeeded=false myWidth=1280 myHeight=1280 fixedSize=true x = 0 y = 0 mWidth=1280 mHeight=1280 mIsSleepMode=false
09-02 18:46:06.384  3979  5982 V WindowManager: Relayout Window{80ee464 u0 com.android.systemui.ImageWallpaper}: viewVisibility=0 req=1280x1280 WM.LayoutParams{(0,0)(1280x1280) gr=#800033 ty=2013 fl=#10318 fmt=2 wanim=0x103030e colorMode=0 naviIconColor=0}
09-02 18:46:06.389  4349  4349 D ImageWallpaper: onOffsetsChanged: xOffset=0.0, yOffset=0.0, xOffsetStep=0.0, yOffsetStep=0.0, xPixels=0, yPixels=0
09-02 18:46:06.390  4349  4349 D ImageWallpaper: newRotation : 0,mLastRotation : 0
09-02 18:46:06.390  4349  4349 D ImageWallpaper: drawFrame:[frame.width()]1280[frame.height()]1280
09-02 18:46:06.390  4349  4349 D ImageWallpaper: surfaceDimensionsChanged=false mDisplayWidth=720 mDisplayHeight=1280
09-02 18:46:06.390  4349  4349 D ImageWallpaper: redrawNeeded = false, mOffsetsChanged = false
09-02 18:46:06.390  4349  4349 D ImageWallpaper: Suppressed drawFrame since redraw is not needed and offsets have not changed.
09-02 18:46:06.402  4349  4372 D SystemServicesProxy: updateOverviewLastStackActiveTimeAsync: newTime=1693559943942
09-02 18:46:06.402  3979 14776 D SecContentProvider: query(), uri = 17 selection = isSettingsChangesAllowed
